Timestamp, Humidity %, Temperature(Â°C), Heat-Index 
[2024-05-27 07:36:45.201],68.1,31.9,39.45
[2024-05-27 07:38:45.838],72.9,33,44.75
[2024-05-27 07:40:46.467],71.3,33.8,46.74
[2024-05-27 07:42:47.112],71.1,34.1,47.69
[2024-05-27 07:44:47.745],69.2,34.3,47.41
[2024-05-27 07:46:48.377],69.2,34.4,47.75
[2024-05-27 07:48:49.014],70,34.6,48.89
[2024-05-27 07:50:49.647],68.7,34.7,48.54
[2024-05-27 07:52:50.284],68.4,34.7,48.37
[2024-05-27 07:54:50.932],67.7,34.6,47.66
[2024-05-27 07:56:51.564],68.3,34.3,46.94
[2024-05-27 07:58:52.196],69.5,34.7,48.97
[2024-05-27 08:00:52.828],68.7,34.8,48.89
[2024-05-27 08:02:53.473],68.8,34.8,48.94
[2024-05-27 08:04:54.106],69.4,34.9,49.63
[2024-05-27 08:06:54.752],68.2,34.9,48.97
[2024-05-27 08:08:55.397],68.4,34.8,48.72
[2024-05-27 08:10:56.058],68.9,34.8,49
[2024-05-27 08:12:56.697],69,34.9,49.41
[2024-05-27 08:14:57.343],67,34.9,48.31
[2024-05-27 08:16:57.988],67.7,34.9,48.69
[2024-05-27 08:18:58.649],68.2,34.8,48.61
[2024-05-27 08:20:59.294],69.2,34.9,49.52
[2024-05-27 08:22:59.932],69.7,35,50.17
[2024-05-27 08:25:00.589],68.1,35,49.26
[2024-05-27 08:27:01.231],69.4,35,50
[2024-05-27 08:29:01.872],67.8,35,49.1
[2024-05-27 08:31:02.514],67.3,34.9,48.47
[2024-05-27 08:33:03.166],66.3,35,48.28
[2024-05-27 08:35:03.807],68.9,34.9,49.35
[2024-05-27 08:37:04.449],66.7,34.9,48.15
[2024-05-27 08:39:05.106],68.6,34.9,49.19
[2024-05-27 08:41:05.745],70.7,35,50.74
[2024-05-27 08:43:06.378],69.2,35.1,50.25
[2024-05-27 08:45:07.033],68.3,35.1,49.73
[2024-05-27 08:47:07.672],68,34.9,48.86
[2024-05-27 08:49:08.305],66.8,34.9,48.2
[2024-05-27 08:51:08.951],67.2,34.9,48.42
[2024-05-27 08:53:09.599],67,34.9,48.31
[2024-05-27 08:55:10.238],67.6,34.9,48.64
[2024-05-27 08:57:10.875],66.4,34.5,46.65
[2024-05-27 08:59:11.512],68.6,34.9,49.19
[2024-05-27 09:01:12.165],69.2,35,49.88
[2024-05-27 09:03:12.798],69.9,35,50.28
[2024-05-27 09:05:13.435],70,34.7,49.25
[2024-05-27 09:07:14.088],67.5,34.9,48.58
[2024-05-27 09:09:14.725],68.1,34.6,47.87
[2024-05-27 09:11:15.362],67,34.8,47.97
[2024-05-27 09:13:16.007],68.1,34.9,48.91
[2024-05-27 09:15:16.643],67.9,34.9,48.8
[2024-05-27 09:17:17.279],68.6,34.9,49.19
[2024-05-27 09:19:17.923],69.1,34.9,49.47
[2024-05-27 09:21:18.557],69.2,35,49.88
[2024-05-27 09:23:19.197],67.6,35,48.99
[2024-05-27 09:25:19.833],68.9,34.8,49
[2024-05-27 09:27:20.484],67.3,34.9,48.47
[2024-05-27 09:29:21.120],68.9,35,49.71
[2024-05-27 09:31:21.755],67.8,35,49.1
[2024-05-27 09:33:22.383],68.6,34.9,49.19
[2024-05-27 09:35:23.034],66.7,34.2,45.82
[2024-05-27 09:37:23.668],68.4,33.9,45.66
[2024-05-27 09:39:24.303],69.5,33.6,45.19
[2024-05-27 09:41:24.938],69.9,33.6,45.38
[2024-05-27 09:43:25.584],69.5,33.9,46.19
[2024-05-27 09:45:26.219],68.6,34.1,46.42
